,tokens,tags,ner_tags_str,len
15,"['Kenya' ""'s"" 'private' 'sector' 'last' 'year' 'lost' 'its' 'jobs'
 'creation' 'momentum' 'in' 'the' 'wake' 'of' 'a' 'slow' '-' 'down' 'in'
 'growth' 'to' '5.3' 'per' 'cent' 'from' '5.7' 'per' 'cent' 'the'
 'previous' 'year' '.']",[3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",33
16,"['Official' 'data' 'shows' 'that' 'the' 'sector' 'created' '69,600'
 'formal' 'jobs' 'down' 'from' '106,200' 'the' 'previous' 'year' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],17
17,"['In' 'comparison' ',' 'the' 'public' 'sector' 'created' 'a' 'paltry'
 '17,500' 'jobs' 'last' 'year' ',' 'underlining' 'the' 'critical' 'role'
 'of' 'the' 'private' 'sector' 'in' 'jobs' 'growth' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",26
18,"['Launched' 'by' 'President' 'Obama' 'in' '2009' ',' 'GES' 'brings'
 'together' 'entrepreneurs' 'and' 'investors' 'from' 'across' 'Africa'
 'and' 'around' 'the' 'world' 'annually' 'to' 'showcase' 'innovative'
 'projects' ',' 'exchange' 'new' 'ideas' ',' 'and' 'help' 'spur'
 'economic' 'opportunity' '.']",[0 0 0 1 0 0 0 5 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']",36
19,"['The' '2015' 'GES' 'agenda' 'will' 'focus' 'on' 'generating' 'new'
 'investments' 'for' 'entrepreneurs' ',' 'with' 'a' 'particular' 'focus'
 'on' 'women' 'and' 'youth' '.']",[0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']",22
20,"['Billionaire' 'businessman' 'Chris' 'Kirubi' 'said' 'that' 'he'
 'expected' 'the' 'summit' 'to' 'translate' 'into' 'increased' 'dealings'
 'between' 'Kenya' 'and' 'the' 'US' 'and' 'capital' 'inflows' '.']",[0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0],"['O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-LOC' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O']",24
21,"['KAM' 'said' 'the' 'recent' 'renewal' 'of' 'the' 'African' 'Growth' 'and'
 'Opportunity' 'Act' '(' 'Agoa' ')' ',' 'which' 'allows' 'exports' 'to'
 'the' 'US' 'duty' 'free' ',' 'would' 'help' 'balance' 'Kenya' ""'s""
 'global' 'trade' '.']",[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0],"['B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O']",33
22,"['""' 'We' 'have' 'in' 'the' 'past' 'not' 'utilised' 'the' 'Agoa'
 'opportunity' 'to' 'its' 'full' 'potential' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],16
23,['We' 'have' 'only' 'been' 'strong' 'on' 'the' 'textile' 'front' '.'],[0 0 0 0 0 0 0 0 0 0],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'],10
24,"['It' ""'s"" 'high' 'time' 'we' 'leveraged' 'on' 'the' 'remaining' '6400'
 'products' 'that' 'enjoy' 'tax' '-' 'free' 'access' 'to' 'the' 'US'
 'market' ',' '""' 'said' 'Ms' 'Wakiaga' 'adding' 'that' 'Kenya' 'needs'
 'to' 'invest' 'in' 'value' 'addition' 'to' 'sharpen' 'its'
 'competitiveness' 'even' 'in' 'the' 'absence' 'of' 'such' 'preference'
 'treatment' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",48
25,"['Kenya' ""'s"" 'exports' 'to' 'the' 'US' 'stood' 'at' 'Ksh38' 'billion' ','
 'attributable' 'largely' 'to' 'the' 'Agoa' 'trade' 'agreement' ','
 'which' 'was' 'recently' 'renewed' 'for' 'another' '10' 'years' '.']",[3 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['B-LOC' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",28
26,"['The' 'Agoa' 'window' ',' 'introduced' 'by' 'former' 'President' 'Bill'
 'Clinton' ""'s"" 'administration' 'in' '2000' ',' 'allows' 'Kenya' 'and'
 'other' 'African' 'countries' 'to' 'export' 'more' 'than' '6,000' 'goods'
 'to' 'the' 'US' 'without' 'paying' 'taxes' '.']",[0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0],"['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O'
 'O' 'O']",34
27,"['Last' 'year' ',' 'Kenya' 'for' 'first' 'time' 'bought' 'more' 'goods'
 'from' 'the' 'United' 'States' 'than' 'it' 'did' 'from' 'the' 'whole'
 'of' 'Africa' ',' 'underlining' 'growing' 'commercial' 'ties' 'that'
 'are' 'expected' 'to' 'deepen' 'with' 'the' 'entrepreneurship' 'summit'
 '.']",[0 0 0 3 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"['O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'I-LOC' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']",37
28,"['US' 'exports' 'to' 'Kenya' 'rose' 'to' 'Ksh168' 'billion' 'last' 'year'
 'compared' 'to' 'the' 'Ksh146' 'billion' 'worth' 'of' 'goods' 'and'
 'services' 'that' 'came' 'from' 'Africa' ',' 'according' 'to' 'data'
 'from' 'the' 'Kenya' 'National' 'Bureau' 'of' 'Statistics' '(' 'KNBS' ')'
 '.']","[3 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 5 6 6 6 6 0 5
 0 0]","['B-LOC' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG'
 'I-ORG' 'I-ORG' 'I-ORG' 'I-ORG' 'O' 'B-ORG' 'O' 'O']",39
29,"['This' 'made' 'America' 'Kenya' ""'s"" 'third' 'largest' 'source' 'of'
 'its' 'imports' ',' 'behind' 'China' 'and' 'India' '.']",[0 0 3 3 0 0 0 0 0 0 0 0 0 3 0 3 0],"['O' 'O' 'B-LOC' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O'
 'B-LOC' 'O']",17
30,"['""' 'Direct' 'flights' 'to' 'the' 'US' 'will' 'also' 'help' 'increase'
 'activity' 'between' 'the' 'two' 'countries' ',' '""' 'said' 'Ms'
 'Wakiaga' '.']",[0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],"['O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'B-PER' 'O']",21
31,['More' 'on' 'This'],[0 0 0],['O' 'O' 'O'],3
32,"['China' 'market' 'rout' ',' 'slowing' 'economy' 'sap' 'demand' 'for'
 'luxury' 'cars' 'Reuters' '–' '23' 'minutes' 'ago' 'Change' 'By'
 'Norihiko' 'Shirouzu' 'BEIJING' '(' 'Reuters' ')' '-' 'Prices' 'for'
 'German' 'luxury' 'cars' 'in' 'China' 'are' 'tumbling' 'as' 'the'
 'country' ""'s"" 'stock' 'market' 'sell' '-' 'off' 'and' 'worries' 'about'
 'broader' 'economic' 'growth' 'chill' 'demand' 'for' 'auto' 'brands'
 'that' 'once' 'commanded' 'price' 'premiums' 'from' 'affluent' 'Chinese'
 'consumers' '.']","[3 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 1 2 3 0 5 0 0 0 0 0 0 0 0 3 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","['B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O'
 'O' 'O' 'B-PER' 'I-PER' 'B-LOC' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",64
33,"['At' 'Mercedes' '-' 'Benz' 'stores' 'operated' 'by' 'a' 'dealer' 'group'
 'with' 'nearly' '200' 'multiple' 'brand' 'outlets' ',' 'customer'
 'traffic' 'at' 'showrooms' 'has' 'dwindled' 'markedly' 'since' 'mid-June'
 ',' 'when' 'a' 'stock' 'market' 'slide' 'that' 'saw' 'indexes' 'plunge'
 'by' 'as' 'much' 'as' 'a' 'third' 'began' '.']","[0 5 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]","['O' 'B-ORG' 'I-ORG' 'I-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",44
34,"['A' 'senior' 'manager' 'at' 'that' 'dealer' 'chain' 'said' 'customer'
 'traffic' 'at' 'some' 'of' 'its' 'Mercedes' '-' 'Benz' 'stores' 'was' '""'
 'down' '20' 'percent' 'to' '30' 'percent' '""' 'compared' 'with' 'last'
 'year' ""'s"" 'levels' 'over' 'the' 'past' 'month' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'I-ORG'
 'I-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']",38
35,"['A' 'China' '-' 'based' 'spokesman' 'for' 'Mercedes' '-' 'Benz' 'owner'
 'Daimler' 'AG' 'could' 'not' 'immediately' 'be' 'reached' 'for' 'comment'
 '.']",[0 3 0 0 0 0 5 6 6 0 5 6 0 0 0 0 0 0 0 0],"['O' 'B-LOC' 'O' 'O' 'O' 'O' 'B-ORG' 'I-ORG' 'I-ORG' 'O' 'B-ORG' 'I-ORG'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",20
36,"['Dealing' 'with' 'a' 'similar' 'fall' '-' 'off' 'in' 'customer' 'traffic'
 'and' 'orders' ',' 'a' 'dozen' 'BMW' 'stores' 'run' 'by' 'another'
 'dealer' 'group' 'are' 'being' 'forced' 'to' 'provide' 'increasingly'
 'steep' 'discounts' 'to' 'entice' 'customers' ',' 'according' 'to' 'the'
 'head' 'of' 'the' 'chain' 'with' 'showrooms' 'across' 'China' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 3 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O']",46
37,"['He' 'said' 'business' 'had' 'already' 'been' 'weak' ',' 'due' 'to'
 'China' ""'s"" 'slowing' 'economic' 'growth' 'and' 'a' 'corruption'
 'crackdown' 'that' 'has' 'weighed' 'on' 'sales' 'of' 'flashy' 'cars' ','
 'and' 'his' 'stores' 'had' 'to' 'offer' 'a' '5' 'percent' 'discount' 'to'
 'grease' 'sales' 'last' 'year' '.']","[0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']",44
